First Semester  Year 20201 Status Active,Unnamed: 0,Regular Major,Information Sy,Unnamed: 1,First Semester  Year 20211 Status Active,Unnamed: 2,Regular Major.1,Information Sy.1,Unnamed: 3,Second Semester  Year 20202 Status Active,Unnamed: 4,Unnamed: 5,Unnamed: 6,course code,course name,Grade Hrs,Pts,Second Semester  Year 20212 Status Active,First Semester  Year 20221 Status Active,First Semester  Year 20231 Status Active,Second Semester  Year 20232 Status Active,Second Semester  Year 20222 Status Active,Third semester  Year 20233 Status Active,First Semester  Year 20241 Status Active,Summer Semester  Year 20235 Status Active,Second Semester  Year 20242 Status Active,Third semester  Year 20243,Status Active
,,,,,,9.00,40.50,4.50,,,,,,,,,,,,,,,,,,Current  9.00  9.00,,
,,,Grade Hrs,Pts,,,,Grade Hrs,Pts,,,,,,,,,,,,,,,,course code course name,course code course name,,
,,,A+ 3,15,,,,B 3,12,,,,,,,,,,,,,,,,390INFS-3Summer Training,433INFS-3Software Project Management,,
,,,,,,,,B+ 3,13.5,,,,,,,,,,,,,,,,,435INFS-3Software Quality Assurance,,
,QHRS,QPTS,GPA,,,,,,,,,,,,,,,,,,,,,,Hrs AHRS EHRS,,,
,,,,,,,,A+ 3,15,,,,,,,,,,,,,,,,,OO4INFS-3Elective 2,,
,3.00,15.00,5.00,,,,,,,,,,,,,,,,,,,,,,Current  3.00  3.00,,,
,124.00,575.00,4.64,,,QHRS,QPTS,GPA,,,,,,,,,,,,,,,,,Cumulative  124.00  124.00,Hrs AHRS EHRS,,
,,,,,,9.00,40.50,4.50,,,,,,,,,,,,,,,,,,Current  9.00  9.00,,
,,,,,,142.00,660.50,4.65,,,,,,,,,,,,,,,,,,Cumulative  142.00  142.00,,
,Pts,,Grade Hrs,,,,,,,,,,,,,,,,,,,,,,,,course code,course name
,0,,3,,,,,,,,,,,,,,,,,,,,,,,,495INFS-3Final Project,
,,QPTS,GPA,,,,,,,,,,,,,,,,,,,,,,,,Hrs AHRS,EHRS QHRS
,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,Current  3.00,0.00  0.00
,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,Cumulative  145.00,142.00  142.00
